/home/sharer/all_robot_comedy/robot_comedy/2018-10-13 Cobbler Show/
0.50 --undefined-- 74.081
0.75 --undefined-- 75.519
1.00 --undefined-- 71.559
1.25 --undefined-- 73.063
1.50 --undefined-- 72.220
1.75 255.807 87.819
2.00 --undefined-- 89.965
2.25 --undefined-- 89.373
2.50 292.037 90.473
pause_4.mp3
0.25 --undefined-- 71.482
0.50 --undefined-- 91.811
0.75 --undefined-- 92.230
1.00 138.878 91.954
1.25 --undefined-- 92.033
pause_5.mp3
0.25 229.853 78.369
0.50 189.124 85.687
0.75 --undefined-- 77.405
1.00 107.855 79.726
1.25 --undefined-- 69.476
1.50 --undefined-- 67.085
1.75 --undefined-- 67.760
2.00 --undefined-- 68.364
2.25 --undefined-- 69.310
2.50 --undefined-- --undefined--
pause_6.mp3
0.25 --undefined-- 74.606
0.50 246.117 83.984
0.75 --undefined-- 81.544
1.00 240.313 82.993
1.25 --undefined-- 70.914
1.50 --undefined-- 71.335
1.75 --undefined-- 69.184
2.00 --undefined-- 69.594
2.25 --undefined-- 70.257
2.50 --undefined-- 69.563
pause_7.mp3
0.25 --undefined-- 67.099
0.50 --undefined-- 68.167
0.75 --undefined-- 72.656
1.00 173.065 89.084
1.25 --undefined-- 90.244
1.50 --undefined-- 91.257
1.75 --undefined-- 90.949
2.00 --undefined-- 89.660
pause_8.mp3
0.25 269.829 89.104
0.50 --undefined-- 83.357
0.75 --undefined-- 70.833
1.00 --undefined-- 70.488
1.25 --undefined-- 69.518
1.50 --undefined-- 67.671
1.75 --undefined-- 67.494
2.00 --undefined-- 67.498
2.25 --undefined-- 68.138
pause_9.mp3
0.25 239.598 88.363
0.50 --undefined-- 91.887
0.75 --undefined-- 91.615
1.00 --undefined-- 89.438
1.25 --undefined-- 88.117
1.50 --undefined-- 86.466
1.75 --undefined-- 80.254
2.00 220.522 83.874
2.25 256.508 84.970
2.50 230.068 85.429
2.75 83.287 80.861
3.00 142.436 75.212
3.25 230.239 83.607
3.50 --undefined-- 73.892
3.75 --undefined-- 75.620
4.00 --undefined-- 75.154
4.25 --undefined-- 75.365
4.50 --undefined-- 75.376
4.75 --undefined-- 71.214
5.00 --undefined-- 69.195
5.25 --undefined-- 69.354
5.50 --undefined-- 68.939
5.75 --undefined-- 69.064
6.00 --undefined-- 68.442
6.25 --undefined-- 66.828
6.50 --undefined-- 66.975
6.75 --undefined-- 68.126
7.00 --undefined-- --undefined--
